age,income,credit_score,loan_amount,loan_term_months,loan_purpose,employment_type,education_level,debt_to_income_ratio,credit_history_years,previous_loans,interest_rate
62.9,69211.3,694.0,23059.55,36,medical,full_time,master,0.223,38.9,5,5.97
37.9,59512.54,705.0,126684.38,360,home,self_employed,associates,0.405,3.6,3,6.38
41.8,28616.5,582.0,318673.46,360,home,part_time,master,0.887,15.6,4,9.92
30.9,26765.51,760.0,9744.36,60,medical,part_time,high_school,0.316,7.3,0,4.84
56.3,78165.23,699.0,15636.78,24,personal,full_time,high_school,0.483,27.0,5,9.22
32.5,28102.63,752.0,1000.0,36,auto,retired,bachelor,0.503,9.2,1,7.54
28.7,13372.96,714.0,17708.42,24,education,part_time,associates,0.821,4.7,2,7.69
40.0,68248.68,738.0,39394.46,36,auto,self_employed,bachelor,0.423,6.3,2,6.97
28.2,36062.36,832.0,26961.31,60,auto,part_time,master,0.314,0.0,0,5.13
53.2,72374.04,682.0,10285.83,12,medical,full_time,bachelor,0.278,32.4,9,5.75
61.6,84147.51,675.0,6789.05,24,personal,full_time,bachelor,0.525,31.7,8,10.01
37.8,40425.72,550.0,202194.38,240,home,self_employed,associates,0.25,9.4,1,7.59
51.5,97327.48,618.0,44928.33,72,auto,full_time,master,0.26,27.4,6,5.96
36.6,32309.98,683.0,9173.82,12,medical,full_time,associates,0.909,17.6,5,8.93
41.7,4184.81,550.0,14408.22,60,personal,unemployed,phd,0.977,23.7,5,16.51
67.3,68265.7,718.0,67092.81,60,business,full_time,associates,0.526,41.8,6,9.02
46.4,42827.66,691.0,337916.26,300,home,retired,bachelor,0.603,18.4,3,7.02
41.6,56526.09,648.0,280744.47,360,home,full_time,phd,0.422,9.3,0,6.41
45.0,4388.75,700.0,17020.55,12,medical,unemployed,phd,1.0,22.2,7,14.05
24.5,4420.12,626.0,138587.74,180,home,unemployed,phd,1.0,6.5,0,12.4
42.8,30814.54,624.0,19828.17,36,auto,retired,master,0.432,15.1,3,7.33
37.6,52463.44,604.0,15075.72,60,education,self_employed,bachelor,0.376,9.0,4,8.29
24.0,29186.01,650.0,36363.57,60,business,self_employed,associates,0.516,0.0,0,11.46
40.6,34455.32,587.0,11462.47,60,business,self_employed,associates,0.513,5.1,0,12.44
61.2,2930.43,587.0,211038.96,180,home,unemployed,associates,1.0,31.7,3,14.97
47.4,43264.14,541.0,129351.1,48,business,part_time,associates,0.913,15.9,5,10.64
19.6,2261.3,698.0,10567.56,48,personal,unemployed,bachelor,1.0,0.6,0,15.14
30.5,5504.59,718.0,1000.0,12,medical,unemployed,phd,0.557,0.0,0,13.32
59.5,7528.83,524.0,13416.5,36,personal,unemployed,master,1.0,25.4,6,16.67
54.5,40818.86,521.0,18469.99,48,medical,part_time,master,0.505,36.5,9,12.0
37.3,60321.22,598.0,206416.71,180,home,full_time,high_school,0.474,7.8,2,9.67
51.5,81025.86,709.0,23594.54,36,medical,full_time,phd,0.431,31.0,7,6.09
27.2,49753.73,766.0,392036.75,300,home,retired,bachelor,0.432,2.6,0,3.75
31.4,1725.12,719.0,24460.53,48,personal,unemployed,high_school,1.0,11.4,6,13.87
37.3,33057.2,586.0,31398.5,36,education,self_employed,high_school,0.617,16.2,3,11.0
40.4,60801.42,656.0,18166.56,60,education,full_time,master,0.464,19.1,5,6.71
44.2,15926.63,630.0,30182.14,48,medical,part_time,bachelor,0.632,15.0,2,10.38
41.3,54449.28,772.0,9457.96,60,personal,full_time,bachelor,0.109,10.5,0,4.21
39.6,45888.87,567.0,17069.29,60,personal,full_time,master,0.406,18.5,6,10.48
66.6,7878.06,534.0,15232.82,60,education,unemployed,bachelor,0.835,38.6,11,15.82
53.8,49373.54,630.0,179627.29,300,home,retired,associates,0.717,27.1,6,8.12
55.3,34540.82,687.0,21715.75,36,personal,part_time,high_school,0.692,35.6,6,9.74
42.2,40740.39,714.0,299652.46,240,home,self_employed,master,0.558,12.1,0,6.75
45.1,40376.36,536.0,4473.47,48,medical,retired,bachelor,0.37,9.4,3,10.41
38.7,36907.73,783.0,1895.77,12,medical,part_time,high_school,0.083,10.6,3,4.79
50.3,30389.79,479.0,26450.64,72,auto,retired,high_school,0.564,24.7,2,10.2
35.1,6282.68,671.0,16195.36,24,personal,unemployed,phd,1.0,9.5,0,14.87
18.0,32677.15,757.0,3206.94,36,medical,self_employed,master,0.245,0.0,0,6.43
34.6,24202.79,477.0,210343.81,180,home,retired,associates,1.0,11.0,3,9.59
42.7,32984.0,565.0,25428.06,12,education,part_time,bachelor,1.0,14.9,2,10.37
30.5,43548.29,547.0,30229.8,48,business,self_employed,high_school,0.224,10.1,3,9.55
27.3,19675.98,556.0,35225.29,48,business,retired,phd,0.69,3.8,1,12.94
34.4,23538.66,640.0,13376.66,12,education,part_time,master,0.901,16.4,5,8.93
29.8,2336.42,687.0,1000.0,300,home,unemployed,master,0.39,0.4,0,11.52
18.0,3982.46,679.0,7049.1,36,education,unemployed,associates,0.953,0.0,0,13.25
24.8,9000.0,588.0,46288.13,60,business,part_time,high_school,1.0,0.0,0,12.8
43.2,49511.83,674.0,18298.85,60,auto,full_time,high_school,0.55,12.4,4,7.94
25.0,12232.51,510.0,25561.47,36,personal,part_time,bachelor,1.0,0.0,0,13.28
54.2,72863.69,656.0,121870.33,360,home,full_time,master,0.202,35.1,7,4.24
36.1,41467.96,563.0,36470.61,72,auto,part_time,phd,0.468,8.2,1,11.23
36.8,18617.39,625.0,18783.34,60,education,part_time,associates,0.47,15.1,4,8.5
26.8,19327.18,570.0,85756.98,12,business,full_time,master,1.0,3.0,0,11.88
20.0,44100.91,587.0,45706.53,12,business,full_time,phd,1.0,0.0,0,12.45
33.1,10500.0,676.0,42411.45,60,business,retired,master,1.0,10.1,2,8.7
52.0,10193.12,677.0,18434.73,12,personal,unemployed,phd,1.0,24.2,6,14.13
43.6,92665.91,650.0,7554.69,24,personal,full_time,phd,0.323,25.6,9,6.18
38.2,5950.74,521.0,16452.11,36,medical,unemployed,associates,1.0,15.6,6,16.14
35.8,3265.69,644.0,323022.22,240,home,unemployed,high_school,1.0,0.0,0,12.99
51.0,61254.88,706.0,41600.2,60,business,retired,phd,0.244,28.5,4,4.98
47.6,2549.86,645.0,22042.28,36,personal,unemployed,high_school,1.0,22.1,4,14.9
44.4,61024.04,520.0,45152.75,36,auto,self_employed,bachelor,0.74,17.4,7,11.15
56.4,89124.9,850.0,6012.05,60,education,full_time,associates,0.35,20.9,3,4.36
30.7,17366.87,590.0,1000.0,24,personal,self_employed,bachelor,0.441,0.0,0,12.51
18.0,25195.53,767.0,28606.48,60,auto,full_time,bachelor,0.398,0.0,0,5.51
45.7,22301.21,680.0,1000.0,24,education,part_time,bachelor,0.228,18.2,3,5.22
28.2,24674.56,628.0,10367.01,48,medical,part_time,high_school,0.333,6.7,1,8.88
22.9,10500.0,683.0,9570.86,48,education,retired,phd,0.48,0.0,0,8.27
59.2,55367.3,734.0,3670.18,36,personal,retired,associates,0.149,20.0,4,6.34
39.6,6553.82,793.0,122961.71,360,home,unemployed,bachelor,0.741,15.6,2,10.47
38.7,67021.44,618.0,16450.01,60,personal,self_employed,phd,0.418,14.7,2,9.45
57.1,66229.29,743.0,17002.36,12,education,self_employed,high_school,0.678,30.1,7,7.52
46.8,4752.36,607.0,42623.64,12,business,unemployed,master,1.0,21.2,3,14.5
57.7,56269.83,670.0,14529.88,12,personal,self_employed,high_school,0.482,33.1,7,10.23
42.0,38825.14,694.0,13606.8,60,education,retired,high_school,0.233,10.9,3,4.92
49.7,7517.83,568.0,7156.74,60,education,unemployed,phd,0.327,30.8,7,12.65
27.0,6894.28,550.0,20999.6,24,education,unemployed,high_school,1.0,0.4,0,15.97
27.5,23285.03,622.0,78733.75,60,business,retired,master,1.0,4.1,1,9.65
31.2,68020.71,659.0,50068.64,12,business,full_time,bachelor,1.0,12.5,0,8.28
39.5,58937.94,452.0,17049.77,24,education,full_time,master,0.517,21.2,6,10.58
39.3,38362.1,655.0,9024.61,48,medical,part_time,high_school,0.507,13.2,3,9.01
45.8,47325.04,510.0,11537.81,60,education,retired,phd,0.468,19.3,4,10.48
45.5,54895.06,559.0,14510.49,36,personal,self_employed,bachelor,0.373,25.4,3,11.21
51.8,7921.43,529.0,4529.77,60,personal,unemployed,phd,0.705,26.0,10,17.67
42.9,33585.98,565.0,103025.63,300,home,self_employed,high_school,0.439,14.8,1,9.15
18.0,12003.06,532.0,12949.27,48,medical,retired,high_school,0.489,0.0,0,11.57
40.5,67684.71,826.0,11145.87,60,medical,self_employed,master,0.382,6.5,1,6.8
54.1,45541.11,697.0,386881.78,240,home,self_employed,bachelor,0.788,30.5,6,7.4
39.0,79928.47,718.0,25929.91,48,medical,self_employed,master,0.542,11.2,1,8.14
40.4,10500.0,668.0,15575.05,12,medical,retired,bachelor,1.0,20.7,3,8.8
18.0,11527.0,591.0,66388.21,36,business,retired,master,1.0,0.0,0,11.26
32.8,51874.04,684.0,293957.94,360,home,retired,bachelor,0.354,0.0,0,4.29
38.8,18839.05,548.0,141363.93,300,home,self_employed,associates,0.402,3.2,2,10.28
51.7,37256.4,664.0,20423.67,60,auto,part_time,master,0.437,33.7,5,7.0
54.5,37086.86,563.0,26262.68,48,auto,part_time,phd,0.329,25.5,4,8.85
39.2,34135.56,573.0,27263.47,12,personal,full_time,bachelor,1.0,14.7,3,12.25
19.3,12228.42,706.0,21081.71,60,medical,retired,associates,0.785,0.0,0,8.77
18.5,44413.59,742.0,23671.37,24,education,self_employed,high_school,0.807,0.0,0,9.48
37.6,2112.97,681.0,6961.11,48,auto,unemployed,associates,1.0,17.4,2,12.68
21.0,13235.53,578.0,4637.79,72,auto,retired,bachelor,0.366,0.0,0,9.36
44.9,6221.85,634.0,12407.45,24,personal,unemployed,high_school,1.0,23.3,6,15.25
36.1,38706.16,584.0,18169.6,48,personal,retired,phd,0.146,13.1,2,9.01
18.0,42441.73,676.0,17235.01,60,auto,retired,bachelor,0.405,0.0,0,6.87
42.4,34470.25,612.0,9509.77,60,personal,part_time,phd,0.14,18.1,4,7.99
23.2,5618.22,641.0,13683.51,48,personal,unemployed,phd,1.0,0.8,2,16.24
52.9,33731.32,672.0,46244.77,24,business,retired,associates,1.0,27.3,5,8.71
42.4,44477.37,675.0,5504.38,60,auto,retired,bachelor,0.272,6.3,1,5.83
51.4,4317.15,524.0,17802.96,60,personal,unemployed,high_school,0.998,26.9,7,16.96
54.1,38343.81,621.0,250014.3,300,home,retired,high_school,0.357,30.2,5,4.13
30.9,16270.22,634.0,18845.96,48,personal,part_time,high_school,0.814,3.4,0,11.25
41.5,25050.85,643.0,32200.25,12,business,part_time,associates,1.0,21.5,3,10.57
56.8,9214.37,661.0,6540.82,12,personal,unemployed,bachelor,1.0,27.4,6,14.03
43.9,88074.59,802.0,66326.61,60,business,full_time,phd,0.577,21.4,3,6.0
52.6,34273.72,667.0,24645.38,12,business,part_time,master,1.0,27.5,6,8.4
25.2,29665.76,677.0,111703.46,300,home,part_time,master,0.671,2.9,0,6.62
25.7,21754.1,524.0,9164.12,48,auto,self_employed,high_school,0.467,0.0,0,12.69
48.3,58212.79,721.0,47914.03,24,business,self_employed,high_school,0.533,28.6,3,9.11
29.0,4030.79,642.0,17786.73,12,education,unemployed,phd,1.0,1.6,0,14.74
63.7,72766.63,765.0,26736.57,24,personal,full_time,high_school,0.63,38.1,12,7.59
49.2,31914.41,798.0,1000.0,60,medical,retired,bachelor,0.217,26.0,2,4.49
42.8,6312.66,540.0,287291.83,300,home,unemployed,associates,1.0,10.7,2,13.86
60.6,59183.5,687.0,279185.93,180,home,self_employed,bachelor,0.529,39.9,9,6.79
49.7,5294.02,555.0,13227.71,60,medical,unemployed,bachelor,0.623,31.7,5,16.6
28.2,45189.07,718.0,181173.87,360,home,full_time,phd,0.613,8.3,0,6.66
56.4,30695.02,625.0,138921.81,240,home,retired,associates,0.548,31.4,10,7.43
45.9,68166.36,611.0,52035.16,12,business,self_employed,bachelor,0.763,27.9,1,9.94
40.7,45758.58,747.0,1000.0,72,auto,self_employed,associates,0.301,15.1,4,5.02
45.0,66573.68,571.0,12543.53,36,education,full_time,bachelor,0.543,23.0,5,10.2
39.9,35142.96,850.0,10252.22,60,education,retired,high_school,0.621,13.0,2,5.29
37.2,30515.4,691.0,204556.39,360,home,retired,associates,0.617,15.8,2,7.68
29.1,78218.85,633.0,20500.51,48,medical,full_time,phd,0.317,0.0,0,7.9
44.8,73230.19,473.0,5121.23,12,medical,self_employed,master,0.514,15.2,3,12.6
51.2,84106.45,777.0,27511.2,24,personal,full_time,master,0.287,22.2,5,4.87
20.7,10500.0,521.0,12647.21,36,medical,retired,high_school,0.742,0.0,0,12.25
34.2,48047.08,538.0,22675.52,60,personal,full_time,bachelor,0.587,6.1,3,12.45
58.7,54137.75,708.0,19530.45,48,medical,part_time,master,0.307,31.4,5,6.38
40.5,35744.86,662.0,30175.2,36,auto,part_time,phd,0.281,22.5,4,5.11
39.4,46410.34,694.0,17327.58,24,personal,full_time,phd,0.63,10.4,3,9.22
40.0,32302.28,771.0,171490.57,300,home,part_time,high_school,0.533,9.6,1,6.25
36.9,35744.29,613.0,33957.3,60,business,retired,master,0.534,4.4,1,11.34
24.8,50172.63,714.0,238420.21,240,home,self_employed,phd,0.388,1.0,0,6.45
29.9,39417.01,671.0,336067.6,300,home,self_employed,master,0.645,5.0,2,8.07
39.7,76258.74,599.0,1000.0,48,personal,full_time,master,0.345,16.2,3,10.07
32.2,1993.36,598.0,42031.86,36,business,unemployed,phd,1.0,6.6,0,17.13
18.0,2421.47,608.0,13909.35,48,medical,unemployed,bachelor,1.0,0.0,0,14.92
18.0,19958.4,660.0,8116.13,12,personal,retired,master,0.585,0.0,0,10.07
47.9,60965.92,666.0,39909.85,60,business,full_time,phd,0.33,28.7,5,6.03
50.4,33817.54,736.0,14769.58,36,personal,retired,bachelor,0.246,28.8,7,5.8
40.6,70432.19,616.0,11282.72,36,personal,full_time,high_school,0.228,8.4,2,7.84
38.3,7388.58,660.0,1000.0,48,education,unemployed,master,0.254,10.5,4,9.64
32.4,4521.58,560.0,18324.41,48,personal,unemployed,bachelor,1.0,8.7,1,16.82
31.5,15000.0,600.0,10726.08,48,education,self_employed,high_school,0.501,6.7,2,10.33
32.7,33897.91,537.0,243221.67,360,home,full_time,master,0.437,12.5,1,8.4
56.5,47073.08,695.0,20059.63,24,medical,retired,master,0.442,27.6,6,8.0
39.9,22613.87,612.0,7266.14,48,education,part_time,high_school,0.562,11.6,2,8.39
35.5,32210.64,716.0,150346.83,240,home,part_time,high_school,0.36,11.9,3,4.49
49.9,73872.62,582.0,56341.9,60,business,self_employed,master,0.612,23.0,8,11.63
44.4,42623.95,723.0,24250.1,72,auto,retired,high_school,0.266,16.9,0,3.9
53.2,42837.33,776.0,83671.23,12,business,self_employed,master,1.0,30.9,7,8.19
23.2,26092.9,620.0,15662.66,36,education,part_time,associates,0.391,5.2,0,8.22
52.3,75376.41,724.0,11349.58,36,medical,self_employed,phd,0.58,29.1,7,9.26
38.5,62475.16,641.0,167340.92,240,home,full_time,bachelor,0.559,14.6,3,7.19
33.4,50861.52,495.0,21442.4,60,business,retired,phd,0.45,0.0,0,12.44
53.7,89197.67,722.0,7588.26,48,personal,self_employed,high_school,0.177,29.4,5,6.84
32.0,28423.94,568.0,1000.0,48,personal,retired,bachelor,0.356,14.0,3,9.81
23.7,20962.79,565.0,38443.18,36,auto,full_time,bachelor,1.0,0.0,0,12.11
37.9,32989.65,648.0,17278.6,48,medical,part_time,phd,0.348,13.0,7,6.7
37.5,15000.0,491.0,1000.0,36,medical,self_employed,high_school,0.479,12.5,5,11.87
42.8,44348.02,617.0,15238.94,36,education,retired,high_school,0.376,9.7,3,6.98
41.6,49975.0,618.0,14882.51,24,medical,part_time,master,0.179,13.3,5,6.05
36.1,45238.75,666.0,5143.37,36,auto,retired,master,0.479,9.1,1,7.25
25.0,23487.34,652.0,28064.39,72,auto,part_time,bachelor,0.5,0.0,0,8.97
34.8,19016.08,567.0,22116.33,60,education,self_employed,high_school,0.771,13.0,6,11.44
27.2,5626.41,802.0,14863.95,24,education,unemployed,master,1.0,2.6,2,11.34
47.5,52415.31,699.0,79078.55,300,home,full_time,associates,0.285,22.0,6,3.82
40.8,7965.68,658.0,16986.6,48,education,unemployed,phd,0.845,17.8,3,12.5
34.2,64707.34,672.0,59576.04,240,home,retired,phd,0.326,11.8,3,3.71
34.8,47931.67,652.0,70674.93,48,business,full_time,master,0.566,8.4,0,8.49
47.1,66158.89,649.0,26379.17,48,auto,self_employed,associates,0.478,24.2,7,10.02
32.5,3815.35,698.0,16533.06,12,education,unemployed,bachelor,1.0,11.5,3,11.81
39.5,14631.05,634.0,16625.32,60,auto,retired,high_school,0.352,14.6,3,5.96
56.8,32381.6,598.0,5809.19,24,personal,part_time,bachelor,0.428,38.7,4,10.7
42.6,38721.39,633.0,17940.08,12,personal,retired,master,0.919,7.8,3,10.24
60.8,45645.06,652.0,19448.18,60,medical,part_time,master,0.297,26.5,5,6.29
41.8,43495.66,844.0,21617.89,36,medical,part_time,master,0.64,14.3,2,7.86
40.7,43302.58,622.0,122569.86,240,home,retired,associates,0.563,11.5,3,7.92
35.1,10500.0,726.0,26693.75,48,auto,retired,associates,1.0,7.8,3,7.9
29.6,51517.19,693.0,20411.83,60,personal,retired,associates,0.339,0.6,0,7.78
49.0,64624.84,752.0,198669.54,180,home,full_time,high_school,0.415,16.2,5,2.92
33.5,36982.02,528.0,8458.54,24,medical,self_employed,associates,0.244,6.5,1,9.43
55.0,5164.21,637.0,18339.72,12,education,unemployed,associates,1.0,25.9,3,12.73
48.7,66777.08,850.0,5402.2,36,personal,retired,phd,0.432,21.6,1,6.79
22.4,10553.78,558.0,15631.71,48,medical,part_time,phd,0.574,0.6,0,12.94
56.3,9211.53,717.0,312084.84,180,home,unemployed,master,1.0,34.3,9,10.04
49.2,4646.67,637.0,57727.25,48,business,unemployed,bachelor,1.0,23.3,4,14.06
54.8,43878.37,669.0,9746.49,60,personal,part_time,phd,0.305,22.3,5,7.09
53.0,68164.92,694.0,14926.54,36,medical,self_employed,bachelor,0.295,29.1,5,7.13
54.3,6563.95,577.0,19874.66,60,auto,unemployed,master,0.785,27.6,5,16.09
36.0,49955.09,638.0,1000.0,300,home,retired,associates,0.001,11.2,7,4.58
29.1,1500.0,590.0,195373.88,300,home,unemployed,bachelor,1.0,4.5,0,14.74
37.2,32300.9,448.0,12052.95,36,auto,part_time,phd,0.521,16.2,3,11.14
57.3,56017.67,626.0,45288.9,60,business,self_employed,high_school,0.74,34.5,8,10.71
50.1,47105.57,765.0,9874.71,60,auto,part_time,phd,0.142,14.2,1,3.75
41.8,30247.04,704.0,27396.28,48,auto,self_employed,associates,0.636,7.3,1,8.66
46.4,51789.48,594.0,50188.19,48,business,retired,phd,0.313,27.2,5,8.55
47.7,6291.89,458.0,142968.59,180,home,unemployed,master,1.0,22.9,7,13.8
30.7,15756.2,571.0,31483.63,24,business,retired,phd,1.0,4.0,0,12.91
44.3,12074.46,580.0,9419.07,12,personal,retired,bachelor,0.937,17.2,4,11.84
43.8,29567.51,604.0,53326.59,60,business,self_employed,high_school,0.916,13.3,3,9.68
37.6,58788.85,722.0,23721.47,12,education,self_employed,phd,0.591,2.7,2,8.69
41.0,3961.79,571.0,28854.73,60,auto,unemployed,high_school,1.0,14.6,0,15.62
59.6,8138.36,617.0,11141.49,12,personal,unemployed,master,1.0,41.6,12,15.43
32.5,53902.2,761.0,1000.0,60,education,full_time,phd,0.541,5.5,2,6.28
23.4,28161.53,706.0,6590.24,36,education,self_employed,bachelor,0.078,0.0,0,5.63
41.6,5982.92,667.0,17070.16,48,education,unemployed,high_school,1.0,9.0,0,12.92
35.0,35011.1,743.0,19912.9,60,education,self_employed,associates,0.114,6.6,1,4.81
40.2,16163.96,596.0,254173.76,360,home,part_time,high_school,0.791,12.0,6,9.37
35.8,34596.03,721.0,28513.51,36,education,self_employed,master,0.825,16.9,4,7.8
59.7,32377.15,758.0,9084.68,60,education,part_time,bachelor,0.514,34.5,11,6.18
44.0,43849.69,661.0,78251.98,180,home,retired,phd,0.418,16.7,2,4.84
23.8,20935.64,783.0,23184.45,36,medical,part_time,high_school,0.916,0.8,0,8.11
58.1,86052.21,677.0,4392.02,24,business,retired,phd,0.468,34.2,4,9.15
44.9,35050.3,654.0,29589.94,60,auto,retired,associates,0.441,19.4,1,6.29
51.6,66560.81,694.0,12290.48,72,auto,self_employed,associates,0.274,31.1,6,5.72
37.2,61867.24,610.0,14739.6,36,education,self_employed,associates,0.239,6.3,1,7.7
34.5,30889.94,541.0,19897.92,48,education,retired,associates,0.521,16.5,2,11.16
31.1,54775.07,677.0,58953.55,12,business,self_employed,associates,1.0,9.6,3,9.89
33.3,15000.0,734.0,21084.05,12,medical,self_employed,master,1.0,5.2,2,10.08
19.8,19807.45,621.0,2043.55,12,personal,retired,phd,0.362,0.0,0,9.5
42.9,5615.56,615.0,9358.54,60,personal,unemployed,associates,0.732,10.0,3,15.5
42.0,37648.06,651.0,1000.0,12,medical,part_time,associates,0.504,24.0,5,8.93
46.1,5614.22,526.0,19233.98,72,auto,unemployed,associates,0.76,12.5,2,15.01
40.8,15974.07,653.0,95284.24,180,home,part_time,bachelor,0.954,18.4,5,7.15
47.4,58971.08,652.0,51751.11,36,business,full_time,bachelor,0.502,20.6,6,7.16
18.4,20729.26,641.0,39630.01,24,business,part_time,phd,1.0,0.0,0,11.18
43.8,45843.9,687.0,12719.75,48,education,retired,phd,0.466,15.7,1,7.64
20.5,15878.07,671.0,6730.12,24,education,part_time,high_school,0.464,0.0,0,8.02
26.7,39376.34,676.0,14551.56,48,medical,self_employed,associates,0.335,0.0,0,8.16
42.6,4708.93,718.0,30599.8,24,personal,unemployed,associates,1.0,20.2,6,13.69
28.3,31322.19,543.0,26127.78,60,personal,retired,phd,0.263,2.3,0,9.68
51.6,63533.09,521.0,17060.27,48,education,self_employed,master,0.279,25.7,5,7.62
74.0,48085.44,673.0,10401.63,60,personal,part_time,bachelor,0.251,45.1,8,7.0
45.5,58324.55,657.0,19729.09,36,personal,part_time,master,0.397,27.5,7,9.75
36.9,5655.38,564.0,17361.86,48,personal,unemployed,bachelor,1.0,9.8,3,18.41
72.4,68115.11,766.0,26535.54,36,medical,retired,master,0.463,43.2,5,6.58
36.8,54968.08,686.0,6081.42,60,education,full_time,master,0.502,8.8,1,6.86
41.9,8632.26,600.0,14043.04,24,personal,unemployed,phd,0.948,21.0,3,16.59
32.9,54751.23,569.0,3051.92,12,personal,full_time,master,0.056,11.5,2,8.93
29.3,5412.43,543.0,27578.45,36,medical,unemployed,master,1.0,0.0,0,16.91
36.9,44719.14,554.0,12613.54,60,auto,part_time,phd,0.5,5.0,0,11.91
32.1,32237.16,590.0,21134.58,36,auto,self_employed,associates,0.423,8.2,0,9.82
54.7,49267.17,801.0,32839.68,48,auto,retired,associates,0.276,30.2,8,2.89
18.0,17316.83,609.0,32154.93,48,auto,retired,high_school,0.554,0.0,0,9.93
52.1,33697.32,730.0,51126.26,36,business,full_time,high_school,0.97,26.7,3,6.44
29.3,41093.1,637.0,1000.0,24,medical,full_time,phd,0.563,0.0,0,10.55
39.0,45942.37,688.0,22650.76,72,auto,retired,high_school,0.248,17.9,2,3.96
35.2,6311.94,657.0,30927.16,24,medical,unemployed,phd,1.0,4.9,2,14.64
42.0,78914.68,721.0,7266.38,12,personal,self_employed,master,0.273,17.5,5,5.54
24.1,32543.42,643.0,9555.66,36,auto,retired,high_school,0.472,3.3,1,8.87
22.1,3611.19,616.0,17834.27,36,auto,unemployed,bachelor,1.0,0.0,0,14.93
38.5,6982.22,581.0,45538.19,60,auto,unemployed,phd,1.0,20.5,6,15.7
61.7,63336.73,643.0,5681.6,60,personal,full_time,high_school,0.339,38.2,5,7.1
41.1,35272.74,579.0,29097.02,36,personal,full_time,associates,0.6,23.1,3,12.67
25.3,31911.43,543.0,12720.7,48,education,retired,phd,0.496,0.0,0,11.68
22.0,35818.56,593.0,19186.48,36,business,retired,bachelor,0.263,0.0,0,8.75
33.4,61911.52,657.0,5579.85,24,personal,full_time,bachelor,0.379,9.1,5,8.98
20.4,48078.76,649.0,12668.08,24,medical,self_employed,phd,0.349,0.0,0,8.78
35.0,33078.99,491.0,9209.57,60,personal,self_employed,high_school,0.279,10.8,1,11.18
31.4,27435.73,685.0,20826.76,48,education,part_time,bachelor,0.614,11.3,3,8.55
46.8,27708.06,638.0,21895.72,12,personal,retired,phd,0.889,25.6,9,10.6
67.9,113830.24,651.0,24607.27,48,auto,full_time,phd,0.468,47.0,11,8.07
55.4,79379.48,678.0,25550.43,36,auto,self_employed,phd,0.336,31.5,4,6.99
43.2,6211.74,676.0,25935.23,72,auto,unemployed,master,0.971,13.8,3,12.82
31.4,38580.34,667.0,5932.63,60,personal,self_employed,master,0.383,1.9,0,10.03
25.9,42452.05,583.0,23510.19,36,personal,full_time,associates,0.342,3.2,1,9.73
34.6,33868.61,715.0,18698.1,12,medical,full_time,bachelor,0.667,8.5,3,7.91
30.1,44386.92,657.0,43166.06,72,auto,self_employed,phd,0.312,9.3,1,6.51
40.3,15000.0,718.0,1000.0,12,medical,self_employed,associates,0.345,21.9,4,7.6
30.7,33479.82,701.0,18587.88,24,education,self_employed,master,0.554,1.1,0,7.86
41.3,14525.92,696.0,10560.88,24,business,part_time,bachelor,0.398,14.5,4,8.56
35.4,25428.05,662.0,12893.54,48,personal,retired,phd,0.403,4.4,2,8.8
52.6,5026.59,607.0,25525.05,24,education,unemployed,associates,1.0,33.3,2,13.59
53.0,34195.2,590.0,295753.72,360,home,retired,bachelor,0.288,27.2,3,6.82
26.8,72329.52,832.0,83793.42,180,home,self_employed,associates,0.615,0.0,0,7.06
39.2,25967.44,715.0,16007.09,24,education,retired,high_school,0.537,7.7,1,7.41
25.6,23024.82,743.0,36993.0,48,auto,retired,associates,0.697,0.2,0,9.14
42.3,53255.97,605.0,23739.19,12,business,retired,master,0.677,23.7,4,9.52
44.3,37154.22,572.0,89976.54,12,business,retired,bachelor,1.0,16.3,4,11.65
40.3,3425.1,469.0,309312.3,360,home,unemployed,associates,1.0,13.3,3,14.57
28.1,30889.78,652.0,54530.99,48,business,retired,bachelor,0.645,10.1,1,8.58
30.7,35641.25,837.0,8860.95,48,education,full_time,associates,0.35,3.4,3,4.22
50.9,84970.69,767.0,22453.9,36,business,full_time,master,0.484,29.3,8,6.69
28.9,13001.99,595.0,10313.66,12,education,part_time,high_school,1.0,0.0,0,12.18
53.5,2921.57,691.0,8515.77,12,personal,unemployed,high_school,1.0,28.2,9,14.21
54.8,63005.45,642.0,330607.22,360,home,full_time,associates,0.401,22.7,6,5.99
37.2,41135.96,612.0,37940.87,24,business,self_employed,high_school,0.901,10.0,0,11.6
38.3,4779.99,617.0,15605.39,48,personal,unemployed,bachelor,1.0,19.6,4,15.19
35.9,4783.63,458.0,1000.0,12,business,unemployed,phd,0.794,17.9,5,16.41
18.0,16666.26,597.0,11318.79,36,medical,part_time,associates,0.574,0.0,0,13.0
41.7,48261.65,547.0,15234.15,48,education,part_time,high_school,0.444,15.4,4,8.73
45.3,44139.3,652.0,3622.16,24,medical,part_time,associates,0.467,24.0,7,9.06
24.6,48459.32,544.0,17640.91,48,personal,full_time,high_school,0.269,0.0,0,10.25
46.3,7548.62,611.0,17451.61,48,education,unemployed,associates,0.812,22.2,4,13.88
56.3,45414.38,644.0,43007.09,36,business,part_time,bachelor,0.698,32.4,7,9.38
37.4,34158.88,458.0,21415.44,36,auto,self_employed,bachelor,0.435,11.7,2,10.45
46.3,2417.22,602.0,3933.27,12,education,unemployed,high_school,1.0,25.3,1,12.95
